Id,Category
0,1
1,10
2,10
3,9
4,6
5,3
6,9
7,10
8,1
9,2
10,1
11,1
12,9
13,10
14,8
15,1
16,9
17,4
18,8
19,9
20,3
21,5
22,1
23,1
24,1
25,3
26,10
27,4
28,9
29,9
30,2
31,9
32,9
33,2
34,2
35,2
36,8
37,10
38,10
39,2
40,6
41,1
42,2
43,10
44,2
45,1
46,10
47,3
48,8
49,9
50,10
51,1
52,3
53,8
54,4
55,8
56,7
57,9
58,9
59,9
60,2
61,8
62,9
63,3
64,10
65,8
66,1
67,1
68,4
69,10
70,5
71,8
72,5
73,8
74,9
75,6
76,4
77,1
78,1
79,9
80,0
81,1
82,9
83,8
84,8
85,9
86,4
87,4
88,9
89,9
90,2
91,5
92,1
93,2
94,5
95,6
96,1
97,2
98,6
99,10
100,8
101,1
102,8
103,8
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,8
112,4
113,3
114,9
115,4
116,9
117,6
118,9
119,2
120,8
121,5
122,0
123,5
124,1
125,2
126,6
127,8
128,10
129,9
130,8
131,1
132,10
133,1
134,1
135,2
136,1
137,10
138,3
139,1
140,8
141,10
142,2
143,8
144,1
145,10
146,9
147,5
148,2
149,8
150,5
151,1
152,9
153,10
154,10
155,1
156,1
157,9
158,8
159,9
160,5
161,2
162,5
163,5
164,8
165,8
166,8
167,8
168,3
169,9
170,8
171,2
172,1
173,4
174,9
175,2
176,2
177,10
178,8
179,9
180,1
181,8
182,9
183,10
184,10
185,9
186,2
187,4
188,1
189,4
190,1
191,1
192,1
193,4
194,7
195,5
196,8
197,9
198,2
199,1
200,9
201,2
202,8
203,9
204,4
205,9
206,0
207,9
208,10
209,9
210,2
211,5
212,10
213,2
214,2
215,2
216,10
217,1
218,9
219,5
220,10
221,2
222,2
223,6
224,5
225,5
226,1
227,9
228,6
229,9
230,1
231,2
232,7
233,8
234,1
235,9
236,4
237,10
238,1
239,9
240,5
241,3
242,8
243,9
244,2
245,8
246,0
247,9
248,10
249,5
250,9
251,3
252,5
253,1
254,5
255,2
256,2
257,9
258,1
259,8
260,8
261,8
262,10
263,10
264,5
265,9
266,1
267,3
268,1
269,9
270,9
271,1
272,10
273,4
274,5
275,1
276,9
277,9
278,2
279,9
280,9
281,9
282,2
283,0
284,10
285,9
286,2
287,4
288,1
289,10
290,9
291,4
292,9
293,10
294,8
295,6
296,7
297,4
298,8
299,8
300,2
301,9
302,3
303,1
304,0
305,10
306,2
307,8
308,9
309,3
310,1
311,1
312,1
313,8
314,8
315,4
316,9
317,1
318,5
319,9
320,1
321,2
322,8
323,1
324,4
325,1
326,2
327,3
328,10
329,0
330,8
331,0
332,2
333,9
334,1
335,2
336,1
337,2
338,8
339,10
340,9
341,6
342,8
343,3
344,3
345,4
346,4
347,6
348,4
349,9
350,8
351,10
352,6
353,2
354,0
355,1
356,8
357,10
358,10
359,4
360,9
361,5
362,10
363,5
364,2
365,2
366,4
367,4
368,2
369,4
370,9
371,4
372,2
373,10
374,1
375,1
376,9
377,9
378,8
379,5
380,10
381,9
382,4
383,9
384,4
385,4
386,4
387,10
388,10
389,2
390,1
391,1
392,10
393,10
394,9
395,9
396,8
397,8
398,8
399,1
400,9
401,4
402,9
403,10
404,0
405,3
406,10
407,8
408,5
409,4
410,5
411,7
412,3
413,9
414,3
415,8
416,4
417,4
418,1
419,8
420,8
421,2
422,5
423,10
424,3
425,8
426,8
427,9
428,9
429,9
430,4
431,2
432,4
433,8
434,3
435,2
436,10
437,10
438,1
439,9
440,10
441,4
442,1
443,1
444,2
445,3
446,5
447,10
448,8
449,9
450,4
451,9
452,3
453,1
454,6
455,6
456,4
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,9
466,7
467,7
468,9
469,1
470,5
471,4
472,8
473,8
474,9
475,3
476,7
477,2
478,1
479,2
480,1
481,4
482,9
483,9
484,10
485,4
486,8
487,9
488,5
489,9
490,3
491,5
492,9
493,2
494,5
495,8
496,8
497,1
498,1
499,10
500,1
501,1
502,5
503,9
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,9
515,2
516,9
517,9
518,5
519,3
520,2
521,10
522,7
523,1
524,2
525,2
526,9
527,9
528,6
529,4
530,4
531,1
532,4
533,1
534,9
535,10
536,1
537,4
538,8
539,6
540,1
541,1
542,3
543,0
544,9
545,8
546,1
547,5
548,3
549,10
550,9
551,8
552,9
553,2
554,4
555,2
556,1
557,5
558,9
559,5
560,9
561,8
562,8
563,8
564,5
565,4
566,5
567,1
568,8
569,3
570,5
571,8
572,8
573,5
574,8
575,4
576,8
577,0
578,1
579,2
580,8
581,2
582,9
583,9
584,0
585,9
586,2
587,2
588,7
589,5
590,9
591,3
592,4
593,8
594,1
595,9
596,0
597,1
598,4
599,4
600,5
601,10
602,5
603,6
604,9
605,9
606,9
607,5
608,8
609,3
610,5
611,9
612,8
613,10
614,9
615,10
616,3
617,9
618,4
619,9
620,7
621,4
622,4
623,10
624,4
625,0
626,1
627,8
628,1
629,6
630,3
631,1
632,2
633,2
634,9
635,2
636,9
637,1
638,2
639,2
640,10
641,3
642,1
643,1
644,9
645,9
646,7
647,8
648,5
649,3
650,3
651,10
652,8
653,10
654,1
655,8
656,5
657,8
658,8
659,9
660,2
661,6
662,10
663,9
664,9
665,8
666,7
667,8
668,9
669,4
670,7
671,9
672,1
673,0
674,5
675,5
676,3
677,2
678,5
679,1
680,2
681,1
682,2
683,8
684,8
685,10
686,10
687,4
688,10
689,6
690,2
691,9
692,8
693,5
694,4
695,8
696,6
697,8
698,10
699,1
700,1
701,1
702,10
703,9
704,1
705,10
706,8
707,8
708,8
709,9
710,4
711,8
712,9
713,9
714,6
715,1
716,4
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,10
727,1
728,2
729,4
730,10
731,1
732,8
733,2
734,4
735,1
736,1
737,8
738,1
739,7
740,3
741,1
742,8
743,1
744,7
745,2
746,2
747,2
748,6
749,8
750,5
751,2
752,8
753,5
754,8
755,1
756,8
757,10
758,9
759,8
760,2
761,8
762,8
763,7
764,8
765,1
766,8
767,9
768,2
769,10
770,9
771,4
772,2
773,5
774,8
775,8
776,8
777,5
778,8
779,4
780,4
781,9
782,4
783,9
784,8
785,1
786,9
787,0
788,8
789,10
790,4
791,8
792,7
793,9
794,7
795,2
796,9
797,2
798,8
799,2
800,4
801,1
802,1
803,8
804,4
805,3
806,10
807,8
808,10
809,4
810,9
811,9
812,2
813,5
814,8
815,1
816,5
817,9
818,1
819,2
820,8
821,8
822,2
823,10
824,1
825,1
826,4
827,9
828,9
829,1
830,1
831,1
832,8
833,1
834,4
835,8
836,5
837,8
838,2
839,3
840,5
841,10
842,8
843,1
844,8
845,8
846,1
847,10
848,8
849,9
850,8
851,9
852,1
853,3
854,10
855,10
856,10
857,10
858,3
859,2
860,1
861,1
862,5
863,9
864,1
865,9
866,2
867,0
868,8
869,2
870,1
871,9
872,5
873,9
874,9
875,3
876,8
877,2
878,8
879,10
880,5
881,8
882,9
883,3
884,4
885,8
886,4
887,4
888,2
889,4
890,9
891,8
892,5
893,4
894,2
895,2
896,3
897,5
898,4
899,9
900,6
901,10
902,8
903,1
904,5
905,1
906,7
907,5
908,9
909,9
910,10
911,8
912,4
913,2
914,4
915,3
916,4
917,1
918,9
919,4
920,9
921,1
922,8
923,9
924,9
925,2
926,2
927,1
928,4
929,9
930,9
931,2
932,1
933,4
934,1
935,2
936,1
937,2
938,8
939,1
940,9
941,4
942,1
943,10
944,9
945,10
946,6
947,8
948,10
949,8
950,0
951,1
952,9
953,9
954,1
955,2
956,6
957,7
958,1
959,9
960,2
961,8
962,0
963,1
964,8
965,3
966,5
967,5
968,1
969,4
970,10
971,4
972,8
973,5
974,1
975,2
976,2
977,5
978,9
979,1
980,1
981,7
982,4
983,9
984,7
985,1
986,10
987,2
988,8
989,9
990,5
991,7
992,8
993,7
994,1
995,8
996,3
997,2
998,9
999,9
1000,9
1001,8
1002,10
1003,7
1004,1
1005,7
1006,3
1007,1
1008,1
1009,5
1010,8
1011,1
1012,6
1013,8
1014,4
1015,10
1016,4
1017,2
1018,2
1019,9
1020,10
1021,9
1022,8
1023,8
1024,9
1025,8
1026,10
1027,8
1028,10
1029,8
1030,10
1031,4
1032,7
1033,1
1034,8
1035,10
1036,8
1037,5
1038,8
1039,8
1040,9
1041,8
1042,9
1043,9
1044,8
1045,9
1046,1
1047,5
1048,4
1049,9
1050,3
1051,1
1052,9
1053,5
1054,8
1055,5
1056,4
1057,8
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,5
1066,8
1067,10
1068,9
1069,9
1070,9
1071,7
1072,1
1073,9
1074,10
1075,4
1076,8
1077,8
1078,2
1079,10
1080,2
1081,5
1082,7
1083,9
1084,9
1085,1
1086,1
1087,4
1088,1
1089,1
1090,1
1091,10
1092,1
1093,8
1094,8
1095,1
1096,10
1097,2
1098,1
1099,9
1100,9
1101,1
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,10
1111,9
1112,2
1113,5
1114,7
1115,3
1116,9
1117,8
1118,8
1119,5
1120,6
1121,9
1122,9
1123,4
1124,8
1125,1
1126,6
1127,1
1128,8
1129,4
1130,1
1131,4
1132,8
1133,8
1134,4
1135,8
1136,10
1137,9
1138,1
1139,8
1140,1
1141,1
1142,9
1143,2
1144,2
1145,8
1146,9
1147,10
1148,3
1149,10
1150,1
1151,2
1152,8
1153,8
1154,9
1155,9
1156,5
1157,8
1158,2
1159,1
1160,9
1161,8
1162,9
1163,9
1164,3
1165,9
1166,2
1167,5
1168,0
1169,8
1170,4
1171,2
1172,9
1173,2
1174,8
1175,8
1176,10
1177,1
1178,4
1179,4
1180,1
1181,6
1182,4
1183,8
1184,1
1185,6
1186,6
1187,4
1188,8
1189,9
1190,7
1191,8
1192,8
1193,5
1194,10
1195,3
1196,9
1197,5
1198,4
1199,9
1200,5
1201,4
1202,8
1203,8
1204,8
1205,8
1206,8
1207,9
1208,9
1209,3
1210,1
1211,10
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,0
1219,9
1220,10
1221,10
1222,4
1223,1
1224,9
1225,9
1226,8
1227,6
1228,1
1229,9
1230,2
1231,4
1232,10
1233,10
1234,4
1235,8
1236,4
1237,3
1238,9
1239,9
1240,2
1241,2
1242,8
1243,9
1244,9
1245,8
1246,4
1247,5
1248,1
1249,5
1250,8
1251,9
1252,10
1253,5
1254,4
1255,8
1256,4
1257,10
1258,8
1259,1
1260,1
